"id";"code";"d1";"d2";"d3";"d4";"d5";"d6";"d7";"d8"
1027;"开源控股";"332.4720";"-13.2180";"4.6800";"130.0620";"-129.3500";"-20.3430";"106.4170";"-69.5540"
1028;"中国创新投资";"3.8750";"37.0050";"-54.1720";"12.6380";"-16.1300";"-0.1380";"-2.5680";"-15.9130"
1029;"永义国际";"297.1630";"-162.7390";"22.8020";"-243.8460";"138.9360";"217.4090";"202.8670";"50.7460"
1030;"天喔国际";"159.9750";"204.8340";"120.7410";"125.1140";"350.8090";"345.3350";"148.0070";"94.2190"
1031;"志道国际";"2.5250";"-3.9480";"-13.6240";"1.9590";"-6.7650";"-73.6730";"-1.7150";"1.7140"
1032;"信和酒店";"195.1275";"104.5059";"177.9126";"90.3510";"165.5469";"85.1334";"203.9647";"112.7875"
1033;"宏安集团";"1223.4440";"688.3000";"423.6900";"454.2380";"449.0770";"588.1880";"140.5200";"217.9420"
1034;"新沣集团";"34.1860";"41.0180";"36.8690";"27.7460";"2.1200";"180.8220";"166.8280";"19.0950"
1035;"中渝置地";"68.3410";"291.8760";"-356.7560";"32.4950";"59.8790";"1366.6650";"587.6500";"1068.2800"
1036;"隆成金融";"-23.4610";"-534.9620";"-461.7410";"-246.4570";"586.8150";"-96.9810";"-145.9960";"496.3750"
1037;"中国投融资";"-1041.7080";"-915.9350";"-59.4820";"355.7640";"35.6900";"-44.5770";"0.1920";"-5.9540"
1038;"国盛投资";"-21.0020";"-39.0120";"-123.5930";"-114.4130";"-50.6580";"-312.6360";"-115.8180";"-112.9410"
1039;"奇峰国际";"-56.8090";"-793.0620";"-22.7930";"-261.8770";"-25.4160";"-132.3760";"-51.9010";"-658.2850"
1040;"南南资源";"36.6780";"48.2670";"25.8870";"23.5820";"-23.1660";"-79.6080";"-5.5190";"-25.3880"
1041;"雅士利国际";"41.2980";"-179.8110";"-121.9380";"15.0730";"-320.2180";"118.2560";"109.3000";"437.6140"
1042;"新矿资源";"-83.8040";"-46.5450";"-18.3490";"-538.0550";"-22.9910";"-45.3510";"-10.0130";"-46.1160"
1043;"金轮天地控股";"247.8500";"485.4610";"273.8250";"265.3760";"100.4310";"12.9790";"102.4160";"234.3950"
1044;"时代中国控股";"1184.2150";"2667.1540";"497.8070";"1955.0200";"549.6090";"1420.5900";"455.6020";"1279.0260"
1045;"中国利郎";"340.6660";"611.0390";"270.6110";"539.8640";"266.2930";"625.1650";"276.9650";"554.9080"
1046;"专业旅运 ";"1.3960";"-2.9600";"-0.6880";"0.8980";"31.5850";"22.4140";"45.4060";"16.7870"
1047;"国农控股";"-18.6410";"-607.9210";"-379.7210";"-32.7590";"-7.8060";"-25.9610";"-6.5280";"4.7650"
1048;"中科生物";"10.5180";"-40.5560";"-3.8810";"-22.2950";"-4.1750";"43.8020";"90.8100";"62.2940"
1049;"宝龙地产";"1330.2800";"1490.3210";"3336.7520";"2464.6820";"2071.1100";"1101.3600";"1030.4580";"1370.8280"
1050;"金宝宝控股";"-43.3320";"-1.9750";"15.7550";"6.9240";"-2.5630";"-12.9230";"14.1010";"2.2430"
1051;"青建国际";"223.5910";"512.0500";"459.3620";"585.3850";"237.1860";"577.3170";"276.2990";"58.6180"
1052;"双桦控股";"2.1980";"-7.3270";"-17.1870";"-16.3460";"-3.3600";"-38.9940";"-38.6170";"9.3270"
1053;"宏安地产";"1808.4560";"903.8500";"11.4250";"38.8160";"410.0000";"108.1930";"457.3990";"427.3190"
1054;"NIRAKU";"-15.0000";"492.0000";"-221.0000";"363.0000";"181.0000";"3030.0000";"937.0000";"42.0000"
1055;"保集健康";"-187.3360";"-569.4210";"-56.3500";"-212.4210";"-193.3930";"-81.9150";"90.5620";"73.3790"
1056;"米格国际控股";"-65.9180";"-155.2710";"-66.9930";"-144.4550";"1.1810";"30.3380";"53.3480";"137.9140"
1057;"通力电子";"85.3830";"198.6480";"151.7750";"78.8770";"166.4790";"101.2160";"65.9420";"27.1110"
1058;"北控清洁能源集团";"690.9210";"627.1560";"1560.3480";"505.1010";"65.7600";"28.7690";"38.4920";"3.1640"
1059;"华油能源 ";"19.6840";"5.5410";"-35.0010";"-292.3460";"-54.1910";"-412.1650";"-199.0570";"116.1760"
1060;"中国天瑞水泥";"550.8160";"489.4740";"1001.7640";"295.8120";"313.0790";"178.0500";"245.8110";"564.9380"
1061;"中国绿地博大绿泽";"65.1310";"155.6190";"102.7460";"151.7070";"79.5280";"109.3420";"150.5060";"71.2630"
1062;"港大零售";"-0.4180";"-21.1720";"-43.4420";"-33.6740";"-19.0940";"-16.3730";"-4.6480";"9.0350"
1063;"中国光大绿色环保";"644.7030";"629.2220";"953.8230";"292.0950";"457.4160";"196.3680";"271.9530";"629.2220"
1064;"中国有色矿业";"98.8750";"142.4280";"11.8320";"65.6580";"6.7110";"-279.9020";"1.0440";"146.8210"
1065;"中国儿童护理";"-50.9980";"-32.4920";"-170.7440";"-111.1890";"13.0850";"-50.3090";"30.7730";"200.3930"
1066;"皓天财经集团";"134.7060";"77.4800";"126.5880";"271.1620";"239.8920";"109.1910";"153.8210";"198.9570"
1067;"蜡笔小新食品";"-52.6930";"-289.4050";"-54.6260";"-601.6660";"-178.1780";"-338.2210";"13.8980";"11.1140"
1068;"栢能集团";"340.0380";"332.2930";"43.7200";"150.1890";"36.5150";"-18.4600";"-27.9870";"51.3490"
1069;"天津津燃公用";"32.4175";"22.6465";"40.0733";"37.6595";"36.0550";"37.0040";"36.7420";"67.5040"
1070;"西王特钢";"568.6530";"898.0530";"332.5890";"309.1950";"162.0850";"169.2240";"406.6040";"211.1820"
1071;"美东汽车";"157.5860";"275.7870";"107.9400";"152.0570";"62.5330";"102.1630";"110.6800";"51.1710"
1072;"首控集团";"-341.6340";"4.7500";"-302.1690";"178.6640";"58.7650";"-22.6310";"-10.5940";"2.5570"
